Id,DisplayName,Description,Category,CheckTiming,ConditionType,TargetValue,IsHidden,TokenReward,DecorationRewardId,Version
C-012,财务自由宣言,被动收入占比首次达到100%,Financial,OnMonthEnd,PassiveIncomeRatio,100,false,1000,SLOT-01-LTD-007,1.0
C-013,精打细算,某分类支出比上月减少30%,Financial,OnMonthEnd,CategoryReduction,30,false,50,,1.0
C-014,生存天数破百,生存天数指标首次超过100天,Financial,Realtime,SurvivalDays,100,false,100,,1.0
C-015,生存天数破千,生存天数指标首次超过1000天,Financial,Realtime,SurvivalDays,1000,false,500,DEC_WINDOW_LTD_ETERNAL,1.0
C-016,预算初体验,首次设置任意分类专项预算,Financial,Realtime,SetBudget,1,false,10,,1.0
C-017,两月达标,连续2个月不超预算,Financial,OnMonthEnd,BudgetMetMonths,2,false,100,,1.0
C-018,半年铁律,连续6个月不超预算,Financial,OnMonthEnd,BudgetMetMonths,6,false,400,SLOT-01-LTD-005,1.0
C-019,存到了一块钱,月净存款大于0元,Financial,OnMonthEnd,MonthlySavings,1,false,10,,1.0
C-020,存到了一百,月净存款首次超过100元,Financial,OnMonthEnd,MonthlySavings,100,false,20,,1.0
C-021,存到了五百,月净存款首次超过500元,Financial,OnMonthEnd,MonthlySavings,500,false,40,,1.0
C-022,存到了五千,月净存款首次超过5000元,Financial,OnMonthEnd,MonthlySavings,5000,false,100,,1.0
C-023,账户破千,账户总余额首次超过1000元,Financial,Realtime,TotalSavings,1000,false,20,,1.0
C-024,账户破五千,账户总余额首次超过5000元,Financial,Realtime,TotalSavings,5000,false,50,,1.0
C-025,生存天数破三十,生存天数首次超过30天,Financial,Realtime,SurvivalDays,30,false,30,,1.0
C-026,生存天数破三百,生存天数首次超过300天,Financial,Realtime,SurvivalDays,300,false,150,,1.0
C-027,年度首存,新的一年里第一次有净存款,Financial,OnMonthEnd,YearFirstSaving,1,false,30,,1.0
D-001,理性闪现,当日无即时物欲支出,Restraint,OnSettlement,ConsecutiveNoImpulseDays,1,false,10,,1.0
D-002,三日清醒,连续3天无即时物欲支出,Restraint,OnSettlement,ConsecutiveNoImpulseDays,3,false,30,,1.0
D-003,意志的胜利,连续7天无即时物欲支出,Restraint,OnSettlement,ConsecutiveNoImpulseDays,7,false,80,,1.0
D-004,理性的守望者,连续30天无即时物欲支出,Restraint,OnSettlement,ConsecutiveNoImpulseDays,30,false,250,DEC_FURN_LTD_GUARDIAN,1.0
D-005,禁欲一日,当日无习惯消耗支出,Restraint,OnSettlement,ConsecutiveNoHabitDays,1,false,10,,1.0
D-006,清醒三日,连续3天无习惯消耗支出,Restraint,OnSettlement,ConsecutiveNoHabitDays,3,false,30,,1.0
D-007,禁欲系领主,连续7天无习惯消耗支出,Restraint,OnSettlement,ConsecutiveNoHabitDays,7,false,100,SLOT-01-S01-001,1.0
D-008,极简主义者,当月即时物欲+习惯消耗合计低于200元,Restraint,OnMonthEnd,MonthlyImpulseUnder,200,false,100,,1.0
D-009,断舍离,连续3个月极简主义者达成,Restraint,OnMonthEnd,MonthlyImpulseUnder,3,false,300,DEC_CARPET_LTD_MINIMAL,1.0
D-010,只吃不买,当日所有支出仅含饮食类,Restraint,OnSettlement,OnlyFoodToday,1,false,20,,1.0
D-011,步行者,当日无空间位移支出,Restraint,OnSettlement,NoTransportToday,1,false,10,,1.0
D-012,无为之日,当日支出为零（有记账行为）,Restraint,OnSettlement,ZeroExpenseDay,1,false,30,,1.0
D-013,五日清醒,连续5天无即时物欲支出,Restraint,OnSettlement,ConsecutiveNoImpulseDays,5,false,50,,1.0
D-014,半月极简,连续14天无即时物欲支出,Restraint,OnSettlement,ConsecutiveNoImpulseDays,14,false,120,,1.0
D-015,清醒五日,连续5天无习惯消耗支出,Restraint,OnSettlement,ConsecutiveNoHabitDays,5,false,50,,1.0
D-016,清醒半月,连续14天无习惯消耗支出,Restraint,OnSettlement,ConsecutiveNoHabitDays,14,false,120,,1.0
D-017,今天少买一件,当日即时物欲支出笔数为0,Restraint,OnSettlement,ConsecutiveNoImpulseDays,1,false,10,,1.0
D-018,低消费日,当日总支出低于50元,Restraint,OnSettlement,LowExpenseDay,50,false,10,,1.0
D-019,超低消费日,当日总支出低于20元,Restraint,OnSettlement,LowExpenseDay,20,false,20,,1.0
D-020,本月没冲动,当月即时物欲支出笔数为0,Restraint,OnMonthEnd,MonthlyZeroImpulseCount,1,false,150,DEC_FURN_LTD_RESTRAINT,1.0
E-001,残章初现,获得第1张残章,Collection,Realtime,TotalCardsCollected,1,false,10,,1.0
E-002,十章在手,累计收集10张残章,Collection,Realtime,TotalCardsCollected,10,false,20,,1.0
E-003,财富启蒙,收集10张财富增长流派残章,Collection,Realtime,FactionCardsCollected,10,false,50,,1.0
E-004,生命进化中,收集10张生命进化流派残章,Collection,Realtime,FactionCardsCollected,10,false,50,DEC_AMBIENT_LTD_GREEN,1.0
E-005,双修之道,两个流派各收集满15张,Collection,Realtime,FactionCardsCollected,15,false,150,DEC_FURN_LTD_DUAL,1.0
E-006,藏书家,累计收集30张残章,Collection,Realtime,TotalCardsCollected,30,false,100,DEC_CURTAIN_LTD_COLLECTOR,1.0
E-007,残章博士,收集全部残章,Collection,Realtime,AllCardsCollected,59,false,500,SLOT-01-LTD-006,1.0
E-008,装饰初收,解锁第1件装饰,Collection,Realtime,TotalDecorationsUnlocked,1,false,10,,1.0
E-009,布置者,累计解锁10件装饰,Collection,Realtime,TotalDecorationsUnlocked,10,false,30,,1.0
E-010,收藏癖,累计解锁30件装饰,Collection,Realtime,TotalDecorationsUnlocked,30,false,80,,1.0
E-011,位面设计师,累计解锁60件装饰,Collection,Realtime,TotalDecorationsUnlocked,60,false,200,DEC_AMBIENT_LTD_DESIGNER,1.0
E-012,克苏鲁信徒,解锁全部克苏鲁风格装饰,Collection,Realtime,StyleDecorationsComplete,1,false,200,DEC_WINDOW_S01_DEEP,1.0
E-013,古风雅士,解锁全部古风风格装饰,Collection,Realtime,StyleDecorationsComplete,1,false,200,SLOT-01-S02-003,1.0
E-014,未来先驱,解锁全部未来风格装饰,Collection,Realtime,StyleDecorationsComplete,1,false,200,SLOT-01-S04-003,1.0
E-015,全位面掌控,解锁全部风格系列装饰,Collection,Realtime,AllStylesComplete,1,false,800,DEC_FURN_LTD_ALLSTYLE,1.0
E-016,五章在手,累计收集5张残章,Collection,Realtime,TotalCardsCollected,5,false,10,,1.0
E-017,二十章在手,累计收集20张残章,Collection,Realtime,TotalCardsCollected,20,false,50,,1.0
E-018,财富流派入门,收集3张财富增长流派残章,Collection,Realtime,FactionCardsCollected,3,false,20,,1.0
E-019,健康流派入门,收集3张生命进化流派残章,Collection,Realtime,FactionCardsCollected,3,false,20,,1.0
E-020,财富流派进阶,收集20张财富增长流派残章,Collection,Realtime,FactionCardsCollected,20,false,100,,1.0
E-021,健康流派进阶,收集20张生命进化流派残章,Collection,Realtime,FactionCardsCollected,20,false,100,,1.0
E-022,第五件装饰,累计解锁5件装饰,Collection,Realtime,TotalDecorationsUnlocked,5,false,20,,1.0
E-023,二十件收藏,累计解锁20件装饰,Collection,Realtime,TotalDecorationsUnlocked,20,false,50,,1.0
E-024,五十件大藏家,累计解锁50件装饰,Collection,Realtime,TotalDecorationsUnlocked,50,false,150,,1.0
E-025,换了三次账本,累计更换账本3次,Collection,Realtime,SlotChangeCount,3,false,20,,1.0
F-001,分类学家,创建第1个自定义分类,Exploration,Realtime,CreateCustomCategory,1,false,10,,1.0
F-002,体系建构者,创建5个自定义分类,Exploration,Realtime,CreateCustomCategory,5,false,30,,1.0
F-003,八面玲珑,使用超过8个不同分类记账,Exploration,Realtime,UseDifferentCategories,8,false,30,,1.0
F-004,年终盘点,首次查看年度账单报告,Exploration,Realtime,ViewReport,1,false,20,,1.0
F-005,数据迷,连续7天查看统计图表,Exploration,Realtime,ConsecutiveViewStats,7,false,40,,1.0
F-006,多账户管理者,创建并启用3个不同类型账户,Exploration,Realtime,CreateMultipleAccounts,3,false,30,,1.0
F-007,平摊大师,在年度平摊中心录入3个项目,Exploration,Realtime,AmortizationItems,3,false,30,,1.0
F-008,收入多元化,录入3种不同类型的收入,Exploration,Realtime,DifferentIncomeTypes,3,false,30,,1.0
F-009,装饰师出道,首次更换任意一件装饰,Exploration,Realtime,FirstDecorationChange,1,false,10,,1.0
F-010,账本启用,首次更换账本,Exploration,Realtime,FirstDecorationChange,1,false,10,,1.0
F-011,第一次看报告,首次查看月度报告,Exploration,Realtime,ViewReport,1,false,10,,1.0
F-012,三分类使用者,使用超过3个不同分类,Exploration,Realtime,UseDifferentCategories,3,false,10,,1.0
F-013,五分类使用者,使用超过5个不同分类,Exploration,Realtime,UseDifferentCategories,5,false,15,,1.0
F-014,十分类全覆盖,使用超过10个不同分类,Exploration,Realtime,UseDifferentCategories,10,false,40,,1.0
F-015,平摊初体验,首次在年度平摊中心录入1个项目,Exploration,Realtime,AmortizationItems,1,false,10,,1.0
F-016,第一次刷新池,首次使用代币刷新当日随机掉落池,Exploration,Realtime,RefreshPool,1,false,10,,1.0
G-001,凌晨的账簿,00:00～03:00完成记账,Hidden,Realtime,EntryAtTimeRange,1,true,30,,1.0
G-002,午夜嗜好者,00:00～03:00录入习惯消耗支出,Hidden,Realtime,EntryAtTimeRange,1,true,20,,1.0
G-003,生日快乐,注册日期当天登录,Hidden,Realtime,LoginOnDate,1,true,50,DEC_AMBIENT_LTD_BIRTHDAY,1.0
G-004,双十一幸存者,11月11日无即时物欲支出,Hidden,OnSettlement,ConsecutiveNoImpulseDays,1,true,80,DEC_FURN_LTD_SURVIVOR,1.0
G-005,五一劳动节,5月1日完成记账,Hidden,Realtime,EntryOnDate,1,true,30,,1.0
G-006,第一笔工资,录入首笔劳动收入,Hidden,Realtime,EntryInCategory,1,true,30,,1.0
G-007,负资产警报,账户余额首次出现负数,Hidden,Realtime,TotalSavings,-1,true,10,,1.0
G-008,极限操作,在23:59完成当日结算,Hidden,OnSettlement,EntryAtTimeRange,1,true,40,,1.0
G-009,克苏鲁入梦,解锁第1件克苏鲁风格装饰,Hidden,Realtime,StyleDecorationsComplete,1,true,30,DEC_AMBIENT_S01_SPORE,1.0
G-010,完美的一天,当日记账+无即时物欲+当月在预算内,Hidden,OnSettlement,PerfectDay,1,true,60,,1.0
G-011,位面奠基者,Steam首发期间完成首次登录,Hidden,Realtime,LoginOnDate,1,true,100,SLOT-01-LTD-001,1.0
G-012,镜中镜,达成全部其他成就,Hidden,Realtime,AllAchievementsComplete,1,true,1000,SLOT-01-LTD-002,1.0
G-013,三餐记录者,当日早中晚三顿均有记录,Hidden,OnSettlement,EntryInCategory,3,true,20,,1.0
G-014,周末宅家,周六或周日当日无空间位移支出,Hidden,OnSettlement,NoTransportToday,1,true,15,,1.0
G-015,刚发工资,当月首笔劳动收入超过5000元,Hidden,Realtime,EntryInCategory,1,true,30,,1.0
G-016,买了份保险,录入第一笔保险类支出,Hidden,Realtime,EntryInCategory,1,true,20,,1.0
G-017,治好了拖延症,连续14天在22:00前完成结算,Hidden,OnSettlement,ConsecutiveEarlySettlement,14,true,60,,1.0
G-018,全部达成,达成以上全部成就（G-012除外）,Hidden,Realtime,AllAchievementsComplete,1,true,2000,SLOT-01-LTD-002,1.0
